headline,tokens,filtered_terms,annotation
Anyone interested in fueling the the next wave of Mass Adoption ,"['anyone', 'interested', 'in', 'fueling', 'the', 'the', 'next', 'wave', 'of', 'mass', 'adoption']","['interested', 'fueling', 'next', 'wave', 'mass', 'adoption']",[]
Kamala Harris Pushes for US Leadership in Blockchain,"['kamala', 'harris', 'pushes', 'for', 'us', 'leadership', 'in', 'blockchain']","['kamala', 'harris', 'pushes', 'us', 'leadership', 'blockchain']",['blockchain']
AI On-Chain: The Future of Decentralized Computing,"['ai', 'onchain', 'the', 'future', 'of', 'decentralized', 'computing']","['ai', 'onchain', 'future', 'decentralized', 'computing']",['decentralized']
"Can Blockchain Solve the Problem of Fake News and
Misinformation?","['can', 'blockchain', 'solve', 'the', 'problem', 'of', 'fake', 'news', 'and', 'misinformation']","['blockchain', 'solve', 'problem', 'fake', 'news', 'misinformation']",['blockchain']
big scam xmail coin,"['big', 'scam', 'xmail', 'coin']","['big', 'scam', 'xmail', 'coin']",['coin']
"Crypto Social Token App Screener Survey (16+, Tech Enthusiasts, All Welcome)","['crypto', 'social', 'token', 'app', 'screener', 'survey', 'tech', 'enthusiasts', 'all', 'welcome']","['crypto', 'social', 'token', 'app', 'screener', 'survey', 'tech', 'enthusiasts', 'welcome']","['crypto', 'token']"
Seeking the best blockchain solution for timestamping document hashes,"['seeking', 'the', 'best', 'blockchain', 'solution', 'for', 'timestamping', 'document', 'hashes']","['seeking', 'best', 'blockchain', 'solution', 'timestamping', 'document', 'hashes']",['blockchain']
How Modular Execution Enhances Cross-Chain DeFi?,"['how', 'modular', 'execution', 'enhances', 'crosschain', 'defi']","['modular', 'execution', 'enhances', 'crosschain', 'defi']","['crosschain', 'defi']"
Hey looking for a web3 SDET. £75-85k salary. Hybrid in London. Does anyone know anyone suitable ?,"['hey', 'looking', 'for', 'a', 'web', 'sdet', 'k', 'salary', 'hybrid', 'in', 'london', 'does', 'anyone', 'know', 'anyone', 'suitable']","['web', 'sdet', 'k', 'salary', 'hybrid', 'london', 'know']",[]
Need suggestions and papers ,"['need', 'suggestions', 'and', 'papers']","['need', 'suggestions', 'papers']",[]
Nodepay Airdrop Season 2: Your Step-by-Step Guide - Web3 Trends,"['nodepay', 'airdrop', 'season', 'your', 'stepbystep', 'guide', 'web', 'trends']","['nodepay', 'airdrop', 'season', 'guide', 'web', 'trends']",['nodepay']
How blockchain used in cloud,"['how', 'blockchain', 'used', 'in', 'cloud']","['blockchain', 'used', 'cloud']",['blockchain']
Hiring a BlockChain expert?  Dm me ,"['hiring', 'a', 'blockchain', 'expert', 'dm', 'me']","['hiring', 'blockchain', 'expert', 'dm']",['blockchain']
I Created a Cryptocurrency E-commerce Platform. Could you give me some feedback?,"['i', 'created', 'a', 'cryptocurrency', 'ecommerce', 'platform', 'could', 'you', 'give', 'me', 'some', 'feedback']","['created', 'cryptocurrency', 'ecommerce', 'platform', 'could', 'give', 'feedback']",['cryptocurrency']
MiCA Licensing & Compliance,"['mica', 'licensing', 'compliance']","['mica', 'licensing', 'compliance']",['mica']
The NFT Hype Is Over – But the Innovation Is Just Beginning,"['the', 'nft', 'hype', 'is', 'over', 'but', 'the', 'innovation', 'is', 'just', 'beginning']","['nft', 'hype', 'innovation', 'beginning']",['nft']
"LAB ECOsystem Token $ECOLAB the next DeFi revolution on BNB Chain | Our ecosystem is designed to offerering stake, yield farming, NFTs DAO, coding, Marketing solutions ","['lab', 'ecosystem', 'token', 'ecolab', 'the', 'next', 'defi', 'revolution', 'on', 'bnb', 'chain', 'our', 'ecosystem', 'is', 'designed', 'to', 'offerering', 'stake', 'yield', 'farming', 'nfts', 'dao', 'coding', 'marketing', 'solutions']","['lab', 'ecosystem', 'token', 'ecolab', 'next', 'defi', 'revolution', 'bnb', 'chain', 'ecosystem', 'designed', 'offerering', 'stake', 'yield', 'farming', 'nfts', 'dao', 'coding', 'marketing', 'solutions']","['token', 'ecolab', 'defi', 'bnb', 'dao']"
Details on Exocore's third cohort of validators.,"['details', 'on', 'exocores', 'third', 'cohort', 'of', 'validators']","['details', 'exocores', 'third', 'cohort', 'validators']",['exocores']
Decentralized Cloud Storage: The Future of Secure and Affordable Data Management?,"['decentralized', 'cloud', 'storage', 'the', 'future', 'of', 'secure', 'and', 'affordable', 'data', 'management']","['decentralized', 'cloud', 'storage', 'future', 'secure', 'affordable', 'data', 'management']",['decentralized']
"Datafilo – AI-Driven, Blockchain-Secured Document Automation","['datafilo', 'aidriven', 'blockchainsecured', 'document', 'automation']","['datafilo', 'aidriven', 'blockchainsecured', 'document', 'automation']",['datafilo']
"Excuse me friends, I need input for learning blockchain Dev. learn blockchain Dev where to start. Thank You. ","['excuse', 'me', 'friends', 'i', 'need', 'input', 'for', 'learning', 'blockchain', 'dev', 'learn', 'blockchain', 'dev', 'where', 'to', 'start', 'thank', 'you']","['excuse', 'friends', 'need', 'input', 'learning', 'blockchain', 'dev', 'learn', 'blockchain', 'dev', 'start', 'thank']","['blockchain', 'blockchain']"
Trying to make learning Web3 easier ,"['trying', 'to', 'make', 'learning', 'web', 'easier']","['trying', 'make', 'learning', 'web', 'easier']",[]
Looking for a developer,"['looking', 'for', 'a', 'developer']",['developer'],[]
FREE legal services for StartUps,"['free', 'legal', 'services', 'for', 'startups']","['free', 'legal', 'services', 'startups']",[]
Top Blockchain Companies,"['top', 'blockchain', 'companies']","['top', 'blockchain', 'companies']",['blockchain']
Cardano Comeback | ADA Surges 300% with Major News! My ADA Price Prediction - $10🚀 Disclaimer: This is not financial advice,"['cardano', 'comeback', 'ada', 'surges', 'with', 'major', 'news', 'my', 'ada', 'price', 'prediction', 'disclaimer', 'this', 'is', 'not', 'financial', 'advice']","['cardano', 'comeback', 'ada', 'surges', 'major', 'news', 'ada', 'price', 'prediction', 'disclaimer', 'financial', 'advice']","['cardano', 'ada', 'ada']"
